Band_8;Band_9;Band_3;Band_10;Band_11;Band_4;Band_12;Band_1;Band_13;Band_14;Band_15;Band_2;Band_16;Band_17;Band_18;Band_19;Band_5;Band_6;Band_7
0.000261041;0.000297943;0.000318725;0.000404561;0;0;0;0.000133695;0.000132201;5.73E-05;2.76E-05;4.44E-05;6.12E-05;7.11E-05;3.61E-05;6.05E-05;0.000536466;0.000144105;0.000551191
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.000221131;0.000283684;0.000164353;0.000243581;0;0;0;6.52E-05;5.47E-05;2.20E-05;2.13E-05;1.85E-05;8.01E-05;5.47E-05;3.24E-05;4.00E-05;0.00025808;0.000156169;0.000433501
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.000150339;0.000304559;0.000175597;0.000123366;0;0;0;3.30E-05;2.66E-05;1.97E-05;2.29E-05;1.24E-05;3.47E-05;1.63E-05;1.08E-05;2.28E-05;0.000187908;7.03E-05;0.000297311
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9.23E-05;0.000183719;0.000119499;0.000124056;0;0;0;4.65E-05;4.11E-05;1.98E-05;1.82E-05;1.09E-05;4.51E-05;2.37E-05;8.40E-06;3.66E-05;0.000147776;0.000135192;0.000205335
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.94E-05;0.00013888;0.00018155;0.000103609;0;0;0;0.000473154;2.97E-05;1.24E-05;1.19E-05;1.95E-05;7.66E-06;2.02E-05;1.02E-05;1.17E-05;8.91E-05;7.61E-05;0.000100111
0;0;0;0;0;0;0;0.000421982;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.000328861;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.0004742;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.000587672;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.000861257;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.00181258;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.00337911;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.00725756;0;0;0;0;0;0;0;0;0;0;0
0.000103704;0.000165196;0.0013973;9.96E-05;0;0;0;0;6.59E-05;0.000144142;1.16E-05;0.000127405;1.50E-05;1.56E-05;7.18E-06;1.77E-05;0.000144975;5.49E-05;0.000139751
0;0;0;0;0;0;0;0.0161996;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.0731352;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.243525;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.495634;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.726977;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.679636;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.68286;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8.54E-05;9.25E-05;0.000122377;7.76E-05;0;0;0;0;0.000169955;0.00153631;8.36E-06;4.94E-05;1.15E-05;1.25E-05;6.24E-06;2.52E-05;7.99E-05;7.52E-05;0.000139881
0;0;0;0;0;0;0;0.805588;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.746249;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.531392;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.441311;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.932612;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.905185;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.439771;0;0;0;0;0;0;0;0;0;0;0
3.78E-05;7.11E-05;0.00042239;6.57E-05;0;0;0;0;0.000616739;0.00375005;1.30E-05;7.18E-05;1.26E-05;1.37E-05;4.60E-06;1.62E-05;0.000103472;4.40E-05;0.000128225
0;0;0;0;0;0;0;0.210328;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.0856633;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.0107264;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.00479769;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.00235889;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.00103616;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.000315933;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.000229683;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.000225379;0.000452368;0;0;0;0;0;0;0;0;0;0
3.02E-05;9.72E-05;0.000799102;0.00010804;0;0;0;0;0;0.00109174;6.56E-06;8.35E-05;1.13E-05;8.29E-06;3.17E-06;6.69E-06;7.35E-05;3.86E-05;0.00011747
0;0;0;0;0;0;0;0.000100319;0.000744534;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.00135374;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.000110245;0.00351132;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.0134802;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.000104285;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.0481175;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.136758;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.293207;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;8.83E-05;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.482024;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.628519;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.810956;0;0;0;0;0;0;0;0;0;0
0;0;0.000288076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.04E-05;8.18E-05;0;6.03E-05;0;0;0;0.000136903;0;0.000671996;4.78E-05;4.00E-05;1.07E-05;1.17E-05;2.59E-06;7.07E-06;3.59E-05;4.78E-05;7.68E-05
0;0;0;0;0;0;0;0;0.963823;0;0;0;0;0;0;0;0;0;0
